time,name,ask_price,bid_price,mark_price
2019-11-02 07:24:55.795350,BCH,288.530099,289.030000,288.780049
2019-11-02 07:24:57.275964,LTC,58.670000,58.790000,58.730000
2019-11-02 07:24:58.910790,ETH,184.070000,184.475911,184.275000
2019-11-02 07:25:00.542274,BTC,9351.850000,9369.960361,9360.905180
2019-11-02 07:25:02.156210,ETC,4.907359,4.916000,4.911679
2019-11-02 07:25:03.646499,BSV,131.460000,131.659547,131.553378
2019-11-02 07:25:05.307946,DOGE,0.002581,0.002593,0.002587
2019-11-02 07:25:06.867740,BCH,288.570000,289.078812,288.824406
2019-11-02 07:25:08.546222,LTC,58.680000,58.798368,58.739184
2019-11-02 07:25:10.114531,ETH,184.062496,184.474794,184.268639
2019-11-02 07:25:11.578719,BTC,9352.146052,9369.600000,9360.816700
2019-11-02 07:25:13.185093,ETC,4.900546,4.909000,4.905500
2019-11-02 07:25:14.711446,BSV,131.386735,131.590000,131.497620
2019-11-02 07:25:16.091694,DOGE,0.002581,0.002592,0.002587
2019-11-02 07:25:17.736740,BCH,288.550000,289.080000,288.815000
2019-11-02 07:25:19.375915,LTC,58.680000,58.798368,58.739184
2019-11-02 07:25:21.056887,ETH,184.062496,184.420000,184.241248
2019-11-02 07:25:22.523567,BTC,9351.630000,9367.670000,9359.650000
2019-11-02 07:25:23.891744,ETC,4.899445,4.911000,4.904787
2019-11-02 07:25:25.552679,BSV,131.230000,131.404134,131.307067
2019-11-02 07:25:27.162518,DOGE,0.002581,0.002591,0.002586
2019-11-02 07:25:28.848685,BCH,288.561354,289.060000,288.825000
2019-11-02 07:25:30.213342,LTC,58.690000,58.790000,58.740000
2019-11-02 07:25:31.729927,ETH,184.120000,184.474580,184.302146
2019-11-02 07:25:33.282323,BTC,9351.960000,9370.152584,9361.056292
2019-11-02 07:25:34.715251,ETC,4.901000,4.910635,4.905876
2019-11-02 07:25:36.463291,BSV,131.190000,131.410000,131.300000
2019-11-02 07:25:38.086236,DOGE,0.002581,0.002591,0.002586
2019-11-02 07:25:39.654776,BCH,288.580000,289.110000,288.844945
2019-11-02 07:25:41.092043,LTC,58.671105,58.798368,58.731979
2019-11-02 07:25:42.858228,ETH,184.130000,184.484293,184.307146
2019-11-02 07:25:44.467216,BTC,9350.780367,9368.296636,9359.538481
2019-11-02 07:25:45.844434,ETC,4.907000,4.915087,4.910446
2019-11-02 07:25:56.763230,BSV,131.109010,131.350000,131.293609
2019-11-02 07:25:58.166463,DOGE,0.002579,0.002592,0.002585
